Textbox16,ACTUAL_SHIP_DATE_TIME,SHIPPING_LOAD_NUM,CUSTOMER,store,ERP_order,AISLE,PARENT_CONTAINER_ID,item,ITEM_DESC,coef,pck,pcs,total_piece,total_kg,LOT
363,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151967_1,SANGOBION 10S_1B15P,375,0,2,2,0,17112027
364,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151982_1,ANTANGIN JRG 4S_1B20P,1000,0,4,4,0,12112028
365,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151989_1,OSKADON 4S_1B50P,2000,0,2,2,0,01052031
366,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000151991_1,ANTANGIN JRG BOX 5X15ML,60,0,1,1,0,02022028
367,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000152045_1,OBH COMBI MENTHOL 100ML,120,0,1,1,0,01032028
368,16-Jul-26,1480118,48448,PYN,CR07057734334,02,00004000000052588868,0000000152081_1,OBH COMBI BATUK FLU MENTHOL 100ML,48,0,1,1,0,01022028
369,16-Jul-26,1480118,48448,PYN,CR07057734334,03,00004000000052588875,0000000152383_1,KAHF MEN FF OIL AND ACNE CARE 50ML,35,0,1,1,0,08042029
370,16-Jul-26,1480118,48448,PYN,CR07057734334,18,00004000000052589032,0000000152397_1,GARUDA PILUS PEDAS 96GR_1C50P,50,0,3,3,0,12062027
371,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589162,0000000152518_1,BUDY JAM STRAWBERRY 150GR_1C36P,36,0,1,1,0,19092027
372,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589162,0000000152529_1,BUDY JAM PINDEKAS 120GR_1C36P,36,0,1,1,0,18082027
373,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589162,0000000152596_1,PRIMA PALM SUIKER BIRU 250GR_1C12P,60,0,1,1,0,08062029
374,16-Jul-26,1480118,48448,PYN,CR07057734334,25,00004000000052589155,0000000152636_1,QUAKER OAT MEAL 200GR_1C36P,36,0,1,1,0,12112027
375,16-Jul-26,1480118,48448,PYN,CR07057734334,41,00004000000052589346,0000000152678_1,QUAKER INSTANT 200GR_1C36P,36,0,2,2,0,12012028
376,16-Jul-26,1480118,48448,PYN,CR07057734334,30,00004000000052589247,0000000153168_1,SANIA POUCH 1 LT_1C12P,12,1,0,12,0,02062028
377,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000153261_1,ROSE BRAND TEPUNG KETAN 500GR_1C20P,20,0,4,4,0,13122027
378,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589193,0000000153432_1,SARIMI AYAM BAWANG 75GR_1C40P,40,0,5,5,0,11022027
379,16-Jul-26,1480118,48448,PYN,CR07057734334,10,00004000000052588943,0000000153434_1,MAKUKU DRY CARE PANTS XL24 1C8P,8,0,1,1,0,08022029
380,16-Jul-26,1480118,48448,PYN,CR07057734334,27,00004000000052589186,0000000153446_1,SEDAAP MIE SOTO 75GR_1C40P,40,0,10,10,0,06032027
381,16-Jul-26,1480118,48448,PYN,CR07057734334,01,00004000000052588851,0000000153467_1,KOALA LA GULA KAPAS BLUBERI 10S_1C60P,60,0,1,1,0,16042028
382,16-Jul-26,1480118,48448,PYN,CR07057734334,29,00004000000052589223,0000000153530_1,GAGA 100 EXTRA PEDAS GORENG JALAPENO 85G_1C40P,40,0,5,5,0,16032027
383,16-Jul-26,1480118,48448,PYN,CR07057734334,23,00004000000052589094,0000000153584_1,INDOMILK JEJU CHOCOLATE UHT 180ML_1C30P,30,0,2,2,0,28022027
384,16-Jul-26,1480118,48448,PYN,CR07057734334,24,00004000000052589124,0000000153613_1,ABC KECAP MANIS 130ML_1C48P,48,0,2,2,0,04122027
385,16-Jul-26,1480118,48448,PYN,CR07057734334,22,00004000000052589087,0000000153620_1,ABC SAMBAL EXTRA PEDAS 130ML_1C48P,48,0,1,1,0,12052027
